vendor_action,event_group,action,change_type,object_attrs,object_category
org.advanced_security_enabled_for_new_repos,change_all,modified,filesystem,advanced_security_enabled_for_new_repos,Organization
org.advanced_security_enabled_on_all_repos,change_all,modified,filesystem,advanced_security_enabled_on_all_repos,Organization
org.allow_third_party_access_requests_from_outside_collaborators_disabled,change_all,modified,filesystem,allow_third_party_access_requests_from_outside_collaborators_disabled,Organization
org.allow_third_party_access_requests_from_outside_collaborators_enabled,change_all,modified,filesystem,allow_third_party_access_requests_from_outside_collaborators_enabled,Organization
org.runner_group_created,change_all,modified,filesystem,runner_group_created,Organization
org.runner_group_removed,change_all,modified,filesystem,runner_group_removed,Organization
org.runner_group_updated,change_all,modified,filesystem,runner_group_updated,Organization
org.set_actions_fork_pr_approvals_policy,change_all,modified,filesystem,set_actions_fork_pr_approvals_policy,Organization
org.set_actions_retention_limit,change_all,modified,filesystem,set_actions_retention_limit,Organization
org.update_member_repository_creation_permission,change_all,modified,filesystem,update_member_repository_creation_permission,Organization
org.update_member_repository_invitation_permission,change_all,modified,filesystem,update_member_repository_invitation_permission,Organization
org.update_new_repository_default_branch_setting,change_all,modified,filesystem,update_new_repository_default_branch_setting,Organization
org.update_terms_of_service,change_all,modified,filesystem,update_terms_of_service,Organization
repo.code_scanning_analysis_deleted,change_all,modified,filesystem,code_scanning_analysis_deleted,Repository
repo.code_scanning_configuration_for_branch_deleted,change_all,modified,filesystem,code_scanning_configuration_for_branch_deleted,Repository
repo.register_self_hosted_runner,change_all,modified,filesystem,register_self_hosted_runner,Repository
repo.remove_self_hosted_runner,change_all,modified,filesystem,remove_self_hosted_runner,Repository
repo.self_hosted_runner_offline,change_all,modified,filesystem,self_hosted_runner_offline,Repository
repo.self_hosted_runner_online,change_all,modified,filesystem,self_hosted_runner_online,Repository
repo.transfer_outgoing,change_all,modified,filesystem,transfer_outgoing,Repository
repo.access,change_all,modified,filesystem,,Repository
repo.advanced_security_disabled,change_all,modified,filesystem,advanced_security_disabled,Repository
repo.archived,change_all,modified,filesystem,,Repository
repo.config.disable_collaborators_only,change_all,modified,filesystem,config.disable_collaborators_only,Repository
repo.config.disable_contributors_only,change_all,modified,filesystem,config.disable_contributors_only,Repository
repo.config.disable_sockpuppet_disallowed,change_all,modified,filesystem,config.disable_sockpuppet_disallowed,Repository
repo.config.enable_collaborators_only,change_all,modified,filesystem,config.enable_collaborators_only,Repository
repo.config.enable_contributors_only,change_all,modified,filesystem,config.enable_contributors_only,Repository
repo.config.enable_sockpuppet_disallowed,change_all,modified,filesystem,config.enable_sockpuppet_disallowed,Repository
repo.create_actions_secret,change_all,modified,filesystem,create_actions_secret,Repository
repo.create_integration_secret,change_all,modified,filesystem,create_integration_secret,Repository
repo.destroy,change_all,deleted,filesystem,,Repository
repo.remove_actions_secret,change_all,modified,filesystem,remove_actions_secret,Repository
repo.remove_integration_secret,change_all,modified,filesystem,remove_integration_secret,Repository
repo.rename,change_all,modified,filesystem,,Repository
repo.transfer,change_all,modified,filesystem,,Repository
repo.unarchived,change_all,modified,filesystem,,Repository
repo.update_actions_secret,change_all,modified,filesystem,update_actions_secret,Repository
repo.update_actions_settings,change_all,modified,filesystem,update_actions_settings,Repository
repo.update_default_branch,change_all,modified,filesystem,update_default_branch,Repository
repo.update_integration_secret,change_all,modified,filesystem,update_integration_secret,Repository
repo.add_topic,change_all,modified,filesystem,add_topic,Repository
repo.codeql_enabled,change_all,modified,filesystem,codeql_enabled,Repository
repo.pages_cname,change_all,modified,filesystem,pages_cname,Repository
repo.pages_create,change_all,modified,filesystem,pages_create,Repository
repo.pages_destroy,change_all,modified,filesystem,pages_destroy,Repository
repo.pages_https_redirect_disabled,change_all,modified,filesystem,pages_https_redirect_disabled,Repository
repo.pages_https_redirect_enabled,change_all,modified,filesystem,pages_https_redirect_enabled,Repository
repo.pages_private,change_all,modified,filesystem,pages_private,Repository
repo.pages_public,change_all,modified,filesystem,pages_public,Repository
repo.pages_source,change_all,modified,filesystem,pages_source,Repository
repo.remove_topic,change_all,modified,filesystem,remove_topic,Repository
repo.set_actions_fork_pr_approvals_policy,change_all,modified,filesystem,set_actions_fork_pr_approvals_policy,Repository
repo.set_actions_retention_limit,change_all,modified,filesystem,set_actions_retention_limit,Repository
team.add_repository,change_all,modified,filesystem,add_repository,Team
team.remove_repository,change_all,modified,filesystem,remove_repository,Team
team.rename,change_all,modified,filesystem,,Team
team.update_repository_permission,change_all,modified,filesystem,update_repository_permission,Team
